ShipName,CallSign,IMO,MMSI,ShipTypeCN,ShipTypeEN,NavStatusCN,NavStatusEN,Length,Width,Draught,Heading,Course,Speed,Lon,Lat,Rot,Dest,ETA,Receivedtime（UTC+8）,UnixTime,Lon_d,Lat_d
ZHE PU YU YUN 98637,YQ8YR7,0,412423833,捕捞,Fishing,在航,Under way using engine,27,6,,51,223.8,8.4,122°47.075′E,31°20.335′N,0,,,2018/4/30 10:45,1525056316,122.784583,31.338922
ZHE PU YU YUN 98637,YQ8YR7,0,412423833,捕捞,Fishing,在航,Under way using engine,27,6,,51,235.3,8.7,122°43.950′E,31°18.207′N,0,,,2018/4/30 11:10,1525057814,122.732493,31.303452
ZHE PU YU YUN 98637,YQ8YR7,0,412423833,捕捞,Fishing,在航,Under way using engine,27,6,,51,226.4,8.4,122°42.129′E,31°16.836′N,0,,,2018/4/30 11:25,1525058714,122.702145,31.280597
ZHE PU YU YUN 98637,YQ8YR7,0,412423833,捕捞,Fishing,在航,Under way using engine,27,6,,51,212.8,8.6,122°40.473′E,31°14.362′N,0,,,2018/4/30 11:45,1525059943,122.674558,31.239373
HAIXUN 0109,BSKY,412040090,412040090,执法艇,Law enforcement vessel,在航,Under way using engine,44,8,2.8,1,31.4,0.1,122°14.159′E,30°54.466′N,0,YANG SHAN PORT,2020/1/28 7:16,2018/4/30 0:11,1525018276,122.235987,30.907773
HAIXUN 0109,BSKY,412040090,412040090,执法艇,Law enforcement vessel,在航,Under way using engine,44,8,2.8,1,340.3,0,122°14.168′E,30°54.463′N,0,YANG SHAN PORT,2020/1/28 7:16,2018/4/30 0:32,1525019535,122.236133,30.90772
HAIXUN 0109,BSKY,412040090,412040090,执法艇,Law enforcement vessel,在航,Under way using engine,44,8,2.8,1,159.1,0,122°14.182′E,30°54.462′N,0,YANG SHAN,2020/1/28 7:16,2018/4/30 0:48,1525020513,122.23636,30.9077
HAIXUN 0109,BSKY,412040090,412040090,执法艇,Law enforcement vessel,在航,Under way using engine,44,8,2.8,1,108.8,0.1,122°14.195′E,30°54.460′N,0,YANG SHAN PORT,2020/1/28 7:16,2018/4/30 1:11,1525021885,122.236587,30.907663
668588,YYYY,0,100900100,,,在航,Under way using engine,8,3,,5.1,353.2,0.8,122°3.509′E,31°15.358′N,0,,,2018/4/30 12:10,1525061401,122.058483,31.255967
CHANG AN MEN,BFJJ,48,413303620,货船,Cargo ship,在航,Under way using engine,147,21,8.2,43,51,11.1,122°21.128′E,30°50.011′N,2.4,CHANG JIANG KOU,2020/4/30 6:00,2018/4/30 3:05,1525028700,122.352127,30.833523
CHANG AN MEN,BFJJ,48,413303620,货船,Cargo ship,在航,Under way using engine,147,21,8.2,43,53,11.2,122°21.999′E,30°50.564′N,2.4,CHANG JIANG KOU,2020/4/30 6:00,2018/4/30 3:10,1525029001,122.366658,30.842735
CHANG AN MEN,BFJJ,48,413303620,货船,Cargo ship,在航,Under way using engine,147,21,8.2,44,51,11.1,122°22.052′E,30°50.601′N,3.6,CHANG JIANG KOU,2020/4/30 6:00,2018/4/30 3:10,1525029011,122.367533,30.843342
CHANG AN MEN,BFJJ,48,413303620,货船,Cargo ship,在航,Under way using engine,147,21,8.2,45,52,11.1,122°22.077′E,30°50.617′N,7.8,CHANG JIANG KOU,2020/4/30 6:00,2018/4/30 3:10,1525029019,122.367957,30.843625
CHANG AN MEN,BFJJ,48,413303620,货船,Cargo ship,在航,Under way using engine,147,21,8.2,46,52,11.1,122°22.109′E,30°50.638′N,6.6,CHANG JIANG KOU,2020/4/30 6:00,2018/4/30 3:10,1525029031,122.368487,30.843963
ZHELINGYUYUN20065,,0,412418396,捕捞,Fishing,在航,Under way using engine,35,6,,51.2,193.3,7.8,122°57.605′E,31°10.453′N,0,,,2018/4/30 9:20,1525051213,122.960075,31.174223
ZHELINGYUYUN20065,,0,412418396,捕捞,Fishing,在航,Under way using engine,35,6,,51.2,188.5,8.2,122°55.696′E,31°4.012′N,0,,,2018/4/30 10:10,1525054212,122.92827,31.066862
ZHELINGYUYUN20065,,0,412418396,捕捞,Fishing,在航,Under way using engine,35,6,,51.2,205.1,8.2,122°55.685′E,31°0.083′N,0,,,2018/4/30 10:40,1525056013,122.928087,31.001383
ZHELINGYUYUN20065,,0,412418396,捕捞,Fishing,在航,Under way using engine,35,6,,51.2,186.5,7.9,122°55.555′E,30°58.146′N,0,,,2018/4/30 10:55,1525056913,122.925915,30.969093
HENG LI 628,BKJJ,0,413441320,货船,Cargo ship,在航,Under way using engine,53,9,,51.2,124.6,6.6,121°55.160′E,31°7.099′N,0,,,2018/4/30 13:35,1525066525,121.91934,31.11832
HENG LI 628,BKJJ,0,413441320,货船,Cargo ship,在航,Under way using engine,53,9,,51.2,121.5,7.4,121°58.196′E,31°5.581′N,0,,,2018/4/30 14:00,1525068028,121.969938,31.093022
HENG LI 628,BKJJ,0,413441320,货船,Cargo ship,在航,Under way using engine,53,9,,51.2,117,8,121°58.836′E,31°5.233′N,0,,,2018/4/30 14:05,1525068326,121.980595,31.087223
HENG LI 628,BKJJ,0,413441320,货船,Cargo ship,在航,Under way using engine,53,9,,51.2,119.1,8.1,122°0.172′E,31°4.553′N,0,,,2018/4/30 14:15,1525068928,122.002868,31.075882
SHEN HUA JUN 2,BDNI6,960921300,413272210,疏浚或水下作业,Engaged in dredging or underwater operations,在航,Under way using engine,135,27,7.1,189,181.2,13.5,122°32.414′E,31°29.419′N,2.4,SHANG HAI,2020/4/30 22:00,2018/4/30 16:20,1525076400,122.540225,31.490325
SHEN HUA JUN 2,BDNI6,960921300,413272210,疏浚或水下作业,Engaged in dredging or underwater operations,在航,Under way using engine,135,27,7.1,190,181.7,13.6,122°32.410′E,31°29.310′N,6.6,SHANG HAI,2020/4/30 22:00,2018/4/30 16:20,1525076429,122.540167,31.488508
SHEN HUA JUN 2,BDNI6,960921300,413272210,疏浚或水下作业,Engaged in dredging or underwater operations,在航,Under way using engine,135,27,7.1,190,181.9,14.8,122°32.381′E,31°28.202′N,5.4,SHANG HAI,2020/4/30 22:00,2018/4/30 16:25,1525076707,122.539688,31.470038
SHEN HUA JUN 2,BDNI6,960921300,413272210,疏浚或水下作业,Engaged in dredging or underwater operations,在航,Under way using engine,135,27,7.1,191,182.9,15.7,122°32.310′E,31°26.949′N,5.4,SHANG HAI,2020/4/30 22:00,2018/4/30 16:30,1525077002,122.538508,31.449145
HUPUYU41028,,0,61729,捕捞,Fishing,在航,Under way using engine,31,6,,0,0,0.1,122°21.769′E,31°21.824′N,0,,,2018/4/30 0:15,1525018510,122.362813,31.36373
HUPUYU41028,,0,61729,捕捞,Fishing,在航,Under way using engine,31,6,,0,0,0,122°21.781′E,31°21.823′N,0,,,2018/4/30 0:45,1525020312,122.363013,31.36372
HUPUYU41028,,0,61729,捕捞,Fishing,在航,Under way using engine,31,6,,0,94.7,0.4,122°21.786′E,31°21.822′N,0,,,2018/4/30 1:00,1525021213,122.363093,31.3637
HUPUYU41028,,0,61729,捕捞,Fishing,在航,Under way using engine,31,6,,0,7.5,0.3,122°21.811′E,31°21.803′N,0,,,2018/4/30 1:45,1525023914,122.36352,31.36339
ROYAL INNOVATION,3FRF2,9573969,372892000,货船,Cargo ship,在航,Under way using engine,169,27,9.8,13.6,206.7,0,122°37.357′E,31°12.394′N,0,CJK PSTN,2020/4/20 10:00,2018/4/30 22:16,1525097778,122.622611,31.206573
ROYAL INNOVATION,3FRF2,9573969,372892000,货船,Cargo ship,在航,Under way using engine,169,27,9.8,14,206.7,0.1,122°37.351′E,31°12.393′N,0,CJK PSTN,2020/4/20 10:00,2018/4/30 22:35,1525098902,122.62252,31.206545
ROYAL INNOVATION,3FRF2,9573969,372892000,货船,Cargo ship,锚泊,At anchor,169,27,9.8,14.6,206.7,0,122°37.359′E,31°12.403′N,0,CJK PSTN,2020/4/20 10:00,2018/4/30 22:47,1525099628,122.622648,31.206721
ROYAL INNOVATION,3FRF2,9573969,372892000,货船,Cargo ship,在航,Under way using engine,169,27,9.8,15,206.7,0,122°37.375′E,31°12.408′N,0,CJK PSTN,2020/4/20 10:00,2018/4/30 23:05,1525100711,122.622925,31.206796
ROYAL INNOVATION,3FRF2,9573969,372892000,货船,Cargo ship,在航,Under way using engine,169,27,9.8,15.7,206.7,0.2,122°37.407′E,31°12.420′N,0,CJK PSTN,2020/4/20 10:00,2018/4/30 23:22,1525101747,122.623451,31.206993
ROYAL INNOVATION,3FRF2,9573969,372892000,货船,Cargo ship,在航,Under way using engine,169,27,9.8,16,1.8,0,122°37.381′E,31°12.416′N,0,CJK PSTN,2020/4/20 10:00,2018/4/30 23:35,1525102508,122.623018,31.206933
ZHE DAI YU 05177,5177,125829632,412425062,捕捞,Fishing,在航,Under way using engine,50,7,5,5.1,266.5,2.3,122°32.534′E,31°21.092′N,0,SHANGHAI,2020/8/17 6:00,2018/4/30 19:35,1525088102,122.54224,31.351532
ZHE DAI YU 05177,5177,125829632,412425062,捕捞,Fishing,在航,Under way using engine,50,7,5,5.1,262.3,2.1,122°31.887′E,31°21.004′N,0,SHANGHAI,2020/8/17 6:00,2018/4/30 19:50,1525089001,122.531445,31.350063
ZHE DAI YU 05177,5177,125829632,412425062,捕捞,Fishing,在航,Under way using engine,50,7,5,5.1,253.6,2.1,122°31.865′E,31°21.000′N,0,SHANGHAI,2020/8/17 6:00,2018/4/30 19:50,1525089031,122.531085,31.349998
ZHE DAI YU 05177,5177,125829632,412425062,捕捞,Fishing,在航,Under way using engine,50,7,5,5.1,259.5,2.2,122°31.670′E,31°20.970′N,0,SHANGHAI,2020/8/17 6:00,2018/4/30 19:55,1525089300,122.527825,31.349503
ZHE DAI YU 05177,5177,125829632,412425062,捕捞,Fishing,在航,Under way using engine,50,7,5,5.1,265.2,2.3,122°31.648′E,31°20.967′N,0,SHANGHAI,2020/8/17 6:00,2018/4/30 19:55,1525089331,122.527462,31.34945
ZHE DAI YU 05177,5177,125829632,412425062,捕捞,Fishing,在航,Under way using engine,50,7,5,5.1,259.8,2.2,122°31.449′E,31°20.942′N,0,SHANGHAI,2020/8/17 6:00,2018/4/30 20:00,1525089600,122.524153,31.349038
